iter	Passed	Remaining
595	25071	16994
596	25121	16958
597	25164	16916
598	25206	16874
599	25243	16829
600	25284	16786
601	25321	16740
602	25369	16702
603	25410	16659
604	25438	16608
605	25487	16571
606	25537	16533
607	25583	16494
608	25649	16467
609	25690	16424
610	25750	16394
611	25801	16357
612	25854	16322
613	25906	16286
614	25957	16250
615	26007	16212
616	26057	16175
617	26113	16141
618	26164	16104
619	26187	16050
620	26233	16010
621	26282	15972
622	26328	15932
623	26383	15897
624	26426	15855
625	26465	15811
626	26535	15785
627	26600	15756
628	26658	15723
629	26712	15688
630	26771	15655
631	26820	15616
632	26873	15580
633	26913	15536
634	26953	15493
635	26990	15447
636	27034	15405
637	27069	15359
638	27106	15313
639	27143	15268
640	27182	15223
641	27219	15178
642	27261	15136
643	27310	15097
644	27361	15059
645	27399	15014
646	27444	14973
647	27483	14929
648	27527	14887
649	27577	14849
650	27638	14816
651	27680	14773
652	27723	14732
653	27762	14687
654	27811	14648
655	27860	14609
656	27900	14566
657	27938	14521
658	27990	14483
659	28041	14445
660	28073	14397
661	28109	14352
662	28146	14306
663	28184	14261
664	28227	14219
665	28264	14174
666	28298	14128
667	28351	14090
668	28389	14046
669	28435	14005
670	28491	13969
671	28534	13927
672	28579	13886
673	28613	13839
674	28651	13795
675	28695	13753
676	28729	13707
677	28769	13663
678	28803	13616
679	28849	13576
680	28893	13534
681	28945	13496
682	28980	13450
683	29015	13404
684	29062	13364
685	29113	13325
686	29153	13282
687	29188	13236
688	29233	13195
689	29266	13148
690	29316	13109
691	29369	13072
692	29407	13027
693	29443	12982
694	29495	12943
695	29553	12908
696	29593	12864
697	29653	12829
698	29687	12783
699	29719	12736
700	29776	12700
701	29825	12661
702	29863	12616
703	29897	12570
704	29931	12524
705	29972	12481
706	30010	12437
707	30045	12391
708	30086	12348
709	30121	12302
710	30160	12259
711	30197	12214
712	30235	12170
713	30278	12128
714	30342	12094
715	30401	12058
716	30456	12021
717	30533	11992
718	30587	11954
719	30641	11916
720	30695	11878
721	30776	11850
722	30820	11808
723	30856	11762
724	30899	11720
725	30937	11676
726	30975	11631
727	31018	11589
728	31053	11543
729	31085	11497
730	31118	11451
731	31157	11407
732	31211	11369
733	31265	11330
734	31306	11287
735	31341	11242
736	31379	11197
737	31422	11155
738	31467	11113
739	31509	11070
740	31582	11039
741	31619	10994
742	31658	10950
743	31706	10909
744	31759	10870
745	31805	10829
746	31854	10788
747	31912	10751
748	31948	10706
749	31990	10663
750	32024	10618
751	32063	10574
752	32109	10532
753	32166	10494
754	32205	10450
755	32244	10406
756	32264	10357
757	32302	10312
758	32337	10267
759	32364	10220
760	32398	10175
761	32438	10131
762	32479	10088
763	32516	10044
764	32549	9998
765	32586	9954
766	32621	9909
767	32661	9866
768	32717	9827
769	32754	9783
770	32791	9739
771	32828	9695
772	32872	9653
773	32915	9610
774	32970	9572
775	33017	9530
776	33091	9497
777	33141	9456
778	33182	9413
779	33237	9374
780	33283	9333
781	33342	9294
782	33386	9252
783	33445	9214
784	33499	9175
785	33554	9135
786	33596	9092
787	33633	9048
788	33670	9004
